Proposal ,Topics,Stage 1,Stage 4
named-capture-groups,#regex,NA,NA
math-sum,#numbers,2023-12-24,NA
math-sum,#iterators,2023-12-24,NA
math-sum,#performance,2023-12-24,NA
atomics-pause,#performance,2024-02-13,NA
atomics-pause,#concurrency,2024-02-13,NA
time-zone-canon,#intl,2023-04-01,NA
time-zone-canon,#others,2023-04-01,NA
decorators,#objects,NA,NA
regexp-legacy,#regex,NA,NA
regexp-legacy,#others,NA,NA
uint8array-base64,#arrays,2023-04-06,NA
uint8array-base64,#numbers,2023-04-06,NA
uint8array-base64,#concurrency,2023-04-06,NA
resource-management,#others,2018-07-24,NA
resource-management,#memory,2018-07-24,NA
redeclarable-global-eval-vars,#others,NA,NA
float16s,#arrays,2023-02-18,NA
float16s,#memory,2023-02-18,NA
float16s,#numbers,2023-02-18,NA
float16s,#others,2023-02-18,NA
float16s,#performance,2023-02-18,NA
is-error,#others,2024-04-10,NA
decorator-metadata,#others,NA,NA
decorator-metadata,#objects,NA,NA
source-phase-imports,#modules,2021-12-18,NA
source-phase-imports,#webassembly,2021-12-18,NA
source-phase-imports,#security,2021-12-18,NA
source-phase-imports,#others,2021-12-18,NA
json-parse-source,#json,2018-09-28,NA
json-parse-source,#objects,2018-09-28,NA
json-parse-source,#others,2018-09-28,NA
json-parse-source,#performance,2018-09-28,NA
dynamic-code-brand-checks,#others,2019-06-06,NA
dynamic-code-brand-checks,#security,2019-06-06,NA
from-async,#async,2021-09-02,NA
from-async,#iterators,2021-09-02,NA
from-async,#others,2021-09-02,NA
from-async,#arrays,2021-09-02,NA
temporal,#intl,2017-05-03,NA
lazy-import,#objects,2021-01-28,NA
lazy-import,#modules,2021-01-28,NA
lazy-import,#performance,2021-01-28,NA
immutable-abs,#others,2024-11-30,NA
immutable-abs,#arrays,2024-11-30,NA
immutable-abs,#memory,2024-11-30,NA
immutable-abs,#performance,2024-11-30,NA
esm-phase,#modules,2024-02-13,NA
esm-phase,#concurrency,2024-02-13,NA
esm-phase,#performance,2024-02-13,NA
shadowrealm,#security,2017-01-30,NA
shadowrealm,#others,2017-01-30,NA
shadowrealm,#realms,2017-01-30,NA
sequencing,#iterators,2023-09-27,NA
joint,#iterators,2023-09-27,NA
joint,#concurrency,2023-09-27,NA
module-declarations,#modules,2021-07-01,NA
module-declarations,#performance,2021-07-01,NA
module-declarations,#others,2021-07-01,NA
isTemplateObject,#security,NA,NA
isTemplateObject,#others,NA,NA
iterator-range,#iterators,2020-04-01,NA
iterator-range,#numbers,2020-04-01,NA
destructure-private,#objects,2021-09-05,NA
symbol-predicates,#others,2022-07-21,NA
async-context,#async,2023-02-01,NA
async-context,#others,2023-02-01,NA
async-context,#functions,2023-02-01,NA
async-iterator-helpers,#async,NA,NA
async-iterator-helpers,#iterators,NA,NA
async-iterator-helpers,#concurrency,NA,NA
function-sent,#iterators,NA,NA
function-sent,#objects,NA,NA
record-tuple,#objects,2019-10-01,NA
record-tuple,#others,2019-10-01,NA
string.dedent,#intl,2022-02-01,NA
string.dedent,#others,2022-02-01,NA
pipeline,#others,2017-12-26,NA
chunking,#iterators,2023-12-11,NA
chunking,#others,2023-12-11,NA
map-emplace,#functions,2019-09-14,NA
map-emplace,#others,2019-09-14,NA
map-emplace,#collections,2019-09-14,NA
regexp-buffer-boundaries,#regex,2021-10-28,NA
regexp-buffer-boundaries,#others,2021-10-28,NA
regexp-buffer-boundaries,#intl,2021-10-28,NA
structs,#concurrency,2021-09-01,NA
structs,#objects,2021-09-01,NA
structs,#memory,2021-09-01,NA
extractors,#objects,2022-09-15,NA
extractors,#others,2022-09-15,NA
collection-rekey,#types,NA,NA
collection-rekey,#others,NA,NA
collection-rekey,#collections,NA,NA
json-parse-immutable,#objects,NA,NA
json-parse-immutable,#json,NA,NA
json-parse-immutable,#performance,NA,NA
censorship,#others,2018-05-03,NA
censorship,#objects,2018-05-03,NA
censorship,#security,2018-05-03,NA
module-expressions,#modules,2020-12-11,NA
module-expressions,#security,2020-12-11,NA
module-expressions,#realms,2020-12-11,NA
scriptormodule,#async,NA,NA
throw-expressions,#others,2017-09-12,NA
discards,#others,2024-01-17,NA
debug,#others,2020-09-25,NA
debug,#objects,2020-09-25,NA
type-annotations,#types,2022-03-31,NA
built-in-modules,#modules,2018-09-21,NA
built-in-modules,#performance,2018-09-21,NA
built-in-modules,#memory,2018-09-21,NA
built-in-modules,#others,2018-09-21,NA
stacks,#others,2017-01-25,NA
proposal-compartments,#realms,2020-04-07,NA
proposal-compartments,#others,2020-04-07,NA
proposal-compartments,#modules,2020-04-07,NA
extensions,#others,2020-12-29,NA
extensions,#objects,2020-12-29,NA
get-intrinsic,#others,2021-10-29,NA
slice-notation,#arrays,2018-03-24,NA
slice-notation,#others,2018-03-24,NA
slice-notation,#ergonomics,2018-03-24,NA
accessors,#objects,2021-08-11,NA
accessors,#others,2021-08-11,NA
asset-references,#modules,2018-11-28,NA
asset-references,#others,2018-11-28,NA
asset-references,#concurrency,2018-11-28,NA
partial-application,#others,2017-11-17,NA
partial-application,#functions,2017-11-17,NA
decimal,#numbers,2020-02-10,NA
decimal,#others,2020-02-10,NA
strict-using,#others,2024-04-12,NA
strict-using,#types,2024-04-12,NA
array.zip,#arrays,2024-10-09,NA
array.zip,#iterators,2024-10-09,NA
array.zip,#concurrency,2024-10-09,NA
array.zip,#performance,2024-10-09,NA
secure-ecmascript,#security,2016-04-15,NA
secure-ecmascript,#realms,2016-04-15,NA
secure-ecmascript,#others,2016-04-15,NA
virtualize,#security,NA,NA
virtualize,#objects,NA,NA
locale-extensions,#intl,2023-09-28,NA
func-obj-decs,#objects,2024-02-08,NA
func-obj-decs,#others,2024-02-08,NA
protocols,#others,2017-09-27,NA
protocols,#objects,2017-09-27,NA
do,#others,2017-09-13,NA
do,#ergonomics,2017-09-13,NA
private-declarations,#objects,2019-04-08,NA
private-declarations,#others,2019-04-08,NA
class-access-expressions,#objects,2018-07-11,NA
regexp-atomic-operators,#regex,2022-06-08,NA
regexp-atomic-operators,#others,2022-06-08,NA
regexp-atomic-operators,#concurrency,2022-06-08,NA
regexp-atomic-operators,#performance,2022-06-08,NA
codepoints,#others,2017-11-29,NA
codepoints,#iterators,2017-11-29,NA
reversible-string-split,#others,2022-01-25,NA
async-do,#async,2021-01-27,NA
async-do,#others,2021-01-27,NA
matching,#others,2018-05-25,NA
matching,#performance,2018-05-25,NA
seeded-randoms,#others,2018-01-25,NA
seeded-randoms,#iterators,2018-01-25,NA
seeded-randoms,#numbers,2018-01-25,NA
call-this,#others,2021-11-11,NA
block-params,#others,2017-12-05,NA
block-params,#functions,2017-12-05,NA
regexp-x-mode,#regex,2021-10-28,NA
regexp-x-mode,#others,2021-10-28,NA
stabilize,#others,2024-12-05,NA
stabilize,#security,2024-12-05,NA
observable,#others,2015-05-01,NA
observable,#async,2015-05-01,NA
concurrency-control,#concurrency,2024-08-07,NA
concurrency-control,#async,2024-08-07,NA
concurrency-control,#iterators,2024-08-07,NA
memoization,#memory,2022-07-22,NA
memoization,#others,2022-07-22,NA
memoization,#objects,2022-07-22,NA
uniform-date-parse,#intl,2018-09-28,NA
uniform-date-parse,#json,2018-09-28,NA
module-keys,#modules,2018-06-12,NA
module-keys,#security,2018-06-12,NA
module-keys,#others,2018-06-12,NA
import-sync,#concurrency,2024-12-05,NA
import-sync,#modules,2024-12-05,NA
import-sync,#others,2024-12-05,NA
array-unique,#arrays,2020-07-26,NA
array-unique,#others,2020-07-26,NA
pick-omit,#others,2022-07-22,NA
pick-omit,#objects,2022-07-22,NA
export-from,#modules,2016-03-29,NA
export-from,#others,2016-03-29,NA
unordered-async,#async,2024-08-08,NA
unordered-async,#iterators,2024-08-08,NA
unordered-async,#concurrency,2024-08-08,NA
readonly-collections,#collections,2019-10-05,NA
readonly-collections,#others,2019-10-05,NA
emitter,#others,2019-06-05,NA
emitter,#iterators,2019-06-05,NA
emitter,#performance,2019-06-05,NA
emitter,#memory,2019-06-05,NA
class-brand-check,#types,2022-01-24,NA
class-brand-check,#objects,2022-01-24,NA
once,#functions,2022-03-31,NA
once,#others,2022-03-31,NA
once,#async,2022-03-31,NA
signals,#others,2024-04-11,NA
signals,#memory,2024-04-11,NA
array-filtering,#arrays,2019-12-12,NA
array-filtering,#others,2019-12-12,NA
cancel-api,#async,2017-09-13,NA
cancel-api,#others,2017-09-13,NA
optional-assign,#others,2023-07-16,NA
optional-assign,#objects,2023-07-16,NA
mixins,#others,2018-01-26,NA
mixins,#objects,2018-01-26,NA
mixins,#ergonomics,2018-01-26,NA
binary-ast,#others,2017-07-13,NA
binary-ast,#json,2017-07-13,NA
binary-ast,#performance,2017-07-13,NA
species-extinct,#security,2020-07-23,NA
species-extinct,#regex,2020-07-23,NA
species-extinct,#arrays,2020-07-23,NA
species-extinct,#others,2020-07-23,NA
species-extinct,#async,2020-07-23,NA
oom,#memory,2019-10-05,NA
oom,#others,2019-10-05,NA
freeze-proto,#objects,2019-01-31,NA
richer-keys,#collections,2019-01-27,NA
richer-keys,#others,2019-01-27,NA
richer-keys,#objects,2019-01-27,NA
limited-array-buffer,#arrays,2021-11-11,NA
limited-array-buffer,#others,2021-11-11,NA
limited-array-buffer,#objects,2021-11-11,NA
faster-promise-adoption,#async,2022-06-06,NA
faster-promise-adoption,#performance,2022-06-06,NA
dataview-uint8c,#arrays,2023-07-15,NA
dataview-uint8c,#numbers,2023-07-15,NA
new.initialize,#objects,2019-01-31,NA
policy-maps,#collections,2022-07-21,NA
policy-maps,#others,2022-07-21,NA
policy-maps,#memory,2022-07-21,NA
class-param-decorators,#objects,2023-04-27,NA
class-param-decorators,#others,2023-04-27,NA
legacy-reflection,#others,2020-02-06,NA
legacy-reflection,#objects,2020-02-06,NA
declarations-in-conditionals,#ergonomics,2019-10-03,NA
declarations-in-conditionals,#others,2019-10-03,NA
declarations-in-conditionals,#performance,2019-10-03,NA
iterator-unique,#iterators,2024-02-08,NA
iterator-unique,#others,2024-02-08,NA
csprng,#security,2020-02-06,NA
csprng,#arrays,2020-02-06,NA
negated-in,#others,2023-10-02,NA
from-string,#numbers,2018-03-21,NA
from-string,#others,2018-03-21,NA
proto-pollution,#security,2022-05-25,NA
proto-pollution,#others,2022-05-25,NA
await-dictionary,#async,2023-03-23,NA
await-dictionary,#objects,2023-03-23,NA
await-dictionary,#concurrency,2023-03-23,NA
regexp-r-escape,#regex,2021-12-04,NA
regexp-r-escape,#intl,2021-12-04,NA
regexp-r-escape,#others,2021-12-04,NA
collection-methods,#collections,2019-01-15,NA
collection-methods,#iterators,2019-01-15,NA
double-ended-iterator,#iterators,2022-01-23,NA
double-ended-iterator,#arrays,2022-01-23,NA
double-ended-iterator,#objects,2022-01-23,NA
deep-path-properties,#objects,2020-06-03,NA
string.cooked,#others,2021-12-31,NA
mass-proxy-revocation,#others,2022-12-01,NA
mass-proxy-revocation,#realms,2022-12-01,NA
collection-of-from,#collections,2017-05-21,NA
collection-of-from,#objects,2017-05-21,NA
collection-of-from,#iterators,2017-05-21,NA
array-equality,#arrays,2020-06-04,NA
array-equality,#others,2020-06-04,NA
module-sync-assert,#concurrency,2023-11-29,NA
module-sync-assert,#modules,2023-11-29,NA
module-sync-assert,#others,2023-11-29,NA
eventual-send,#async,2019-10-05,NA
eventual-send,#others,2019-10-05,NA
promise-pipelining,#async,2019-07-12,NA
promise-pipelining,#others,2019-07-12,NA
bigint-math,#numbers,2021-09-03,NA
bigint-math,#others,2021-09-03,NA
modulus,#numbers,2023-06-23,NA
modulus,#others,2023-06-23,NA
freeze-seal-syntax,#objects,2017-11-30,NA
freeze-seal-syntax,#others,2017-11-30,NA
freeze-seal-syntax,#ergonomics,2017-11-30,NA
dynamic-modules,#modules,2018-07-25,NA
dynamic-modules,#others,2018-07-25,NA
template-literals,#others,2024-08-19,NA
stable-format,#intl,2023-09-28,NA
stable-format,#others,2023-09-28,NA
await.ops,#async,2020-08-25,NA
await.ops,#concurrency,2020-08-25,NA
ortho,#objects,NA,NA
catch-guard,#others,NA,NA
as-patterns,#others,NA,NA
as-patterns,#objects,NA,NA
string-trim-characters,#regex,NA,NA
string-trim-characters,#others,NA,NA
func-expr-decorators,#memory,NA,NA
func-expr-decorators,#others,NA,NA
relationships,#others,NA,NA
relationships,#collections,NA,NA
bind-syntax,#objects,NA,NA
bind-syntax,#others,NA,NA
bind-syntax,#ergonomics,NA,NA
nested-imports,#modules,NA,NA
nested-imports,#performance,NA,NA
clone,#realms,NA,NA
clone,#others,NA,NA
clone,#objects,NA,NA
object-shorthand-improvements,#objects,NA,NA
metaprops,#others,NA,NA
metaprops,#objects,NA,NA
method-param-decorators,#objects,NA,NA
method-param-decorators,#others,NA,NA
is-callable-is-constructor,#others,NA,NA
is-callable-is-constructor,#functions,NA,NA
cleanup-some,#concurrency,2020-07-06,NA
cleanup-some,#objects,2020-07-06,NA
simd,#performance,NA,NA
simd,#others,NA,NA
fromimport,#modules,NA,NA
fromimport,#ergonomics,NA,NA
blocks,#async,NA,NA
blocks,#json,NA,NA
blocks,#concurrency,NA,NA
ptc,#others,NA,NA
ptc,#functions,NA,NA
ptc,#performance,NA,NA
function-helpers,#iterators,that,NA
function-helpers,#functions,that,NA
signbit,#others,2017-01-26,NA
signbit,#numbers,2017-01-26,NA
collection-json,#objects,NA,NA
collection-json,#collections,NA,NA
cancel-promise,#async,2016-06-06,NA
spaceship,#arrays,NA,NA
spaceship,#others,NA,NA
module-unambig,#others,NA,NA
module-unambig,#modules,NA,NA
date-parse,#intl,NA,NA
refcollection,#others,NA,NA
refcollection,#memory,NA,NA
pipe-flow,#others,NA,NA
pipe-flow,#functions,NA,NA
arraylast,#arrays,2018-01-13,NA
arraylast,#others,2018-01-13,NA
modules-pragma,#modules,2017-05-16,NA
modules-pragma,#others,2017-05-16,NA
generator-arrow-functions,#iterators,2019-10-21,NA
generator-arrow-functions,#functions,2019-10-21,NA
json-tryparse,#objects,NA,NA
json-tryparse,#others,NA,NA
shallow-equal,#others,NA,NA
shallow-equal,#memory,NA,NA
re-atomic-groups,#regex,NA,NA
re-atomic-groups,#concurrency,NA,NA
object-enums,#collections,NA,NA
object-enums,#iterators,NA,NA
object-enums,#others,NA,NA
typed-objects-new,#types,NA,NA
typed-objects-new,#memory,NA,NA
more-math,#others,2016-07-27,NA
more-math,#numbers,2016-07-27,NA
dynamic-module-reform,#modules,2016-12-14,NA
dynamic-module-reform,#others,2016-12-14,NA
buffer-transfer,#async,NA,NA
buffer-transfer,#memory,NA,NA
buffer-transfer,#concurrency,NA,NA
buffer-transfer,#arrays,NA,NA
extensible-literals,#numbers,2018-01-29,NA
extensible-literals,#others,2018-01-29,NA
unicode-sequence-properties,#intl,2018-05-22,NA
unicode-sequence-properties,#objects,2018-05-22,NA
unicode-sequence-properties,#regex,2018-05-22,NA
callable-constructors,#objects,2017-10-12,NA
overloading,#others,2020-03-15,NA
overloading,#numbers,2020-03-15,NA
is-types,#realms,NA,NA
is-types,#types,NA,NA
symbol-thenable,#others,NA,NA
symbol-thenable,#async,NA,NA
zones,#async,NA,NA
zones,#others,NA,NA
uuid,#security,2019-10-03,NA
uuid,#others,2019-10-03,NA
distinguishing-literal-strings,#others,NA,NA
distinguishing-literal-strings,#security,NA,NA
object-iteration,#iterators,2019-10-01,NA
object-iteration,#collections,2019-10-01,NA
collection-literals,#others,NA,NA
collection-literals,#objects,NA,NA
string-at,#others,NA,NA
string-at,#intl,NA,NA
construct,#objects,NA,NA
deprecated,#others,NA,NA
deprecated,#objects,NA,NA
unused-params,#functions,NA,NA
unused-params,#others,NA,NA
unused-params,#objects,NA,NA
typedarray-stride-parameter,#arrays,2020-02-07,NA
typedarray-stride-parameter,#memory,2020-02-07,NA
idl,#others,We,At
escape,#regex,2021-01-28,2025-02-18
escape,#others,2021-01-28,2025-02-18
import-attributes,#modules,2019-12-06,2024-12-12
import-attributes,#security,2019-12-06,2024-12-12
try,#async,2016-11-29,2024-10-09
try,#concurrency,2016-11-29,2024-10-09
try,#others,2016-11-29,2024-10-09
json-modules,#objects,2019-12-06,2024-10-08
json-modules,#modules,2019-12-06,2024-10-08
json-modules,#security,2019-12-06,2024-10-08
regexp-modifiers,#regex,2021-10-28,2024-10-08
regexp-modifiers,#others,2021-10-28,2024-10-08
iterator-helpers,#iterators,2019-01-31,2024-10-08
iterator-helpers,#arrays,2019-01-31,2024-10-08
arraybuffer-transfer,#arrays,NA,2024-07-12
arraybuffer-transfer,#memory,NA,2024-07-12
arraybuffer-transfer,#performance,NA,2024-07-12
set-methods,#objects,NA,2024-06-25
set-methods,#collections,NA,2024-06-25
promise-defer,#async,2023-03-24,2023-12-12
promise-defer,#others,2023-03-24,2023-12-12
array-grouping,#arrays,2021-07-15,2023-11-27
array-grouping,#collections,2021-07-15,2023-11-27
array-grouping,#iterators,2021-07-15,2023-11-27
resizable,#arrays,2020-07-19,2023-10-24
resizable,#memory,2020-07-19,2023-10-24
resizable,#performance,2020-07-19,2023-10-24
resizable,#security,2020-07-19,2023-10-24
resizable,#iterators,2020-07-19,2023-10-24
regexp-v-flag,#regex,2021-01-28,2023-05-16
regexp-v-flag,#others,2021-01-28,2023-05-16
regexp-v-flag,#collections,2021-01-28,2023-05-16
usv-string,#intl,2022-08-10,2023-05-15
usv-string,#others,2022-08-10,2023-05-15
usv-string,#performance,2022-08-10,2023-05-15
nonblocking,#async,2017-06-06,2023-05-15
nonblocking,#concurrency,2017-06-06,2023-05-15
change-array-by-copy,#arrays,2021-04-20,2023-03-05
change-array-by-copy,#others,2021-04-20,2023-03-05
symbols-weakmap,#collections,2020-06-02,2023-01-30
symbols-weakmap,#others,2020-06-02,2023-01-30
symbols-weakmap,#objects,2020-06-02,2023-01-30
hashbang-grammar,#others,2018-03-21,2022-07-20
find-last,#arrays,2021-02-01,2022-06-06
find-last,#iterators,2021-02-01,2022-06-06
find-last,#performance,2021-02-01,2022-06-06
at,#arrays,NA,2022-01-24
exponentiation,#numbers,NA,2022-01-24
error-cause,#others,2020-09-24,2021-10-26
object-has,#objects,NA,2021-08-31
object-has,#others,NA,2021-08-31
static-blocks,#objects,2018-07-10,2021-08-31
private-fields-in-in,#objects,2020-04-01,2021-07-15
private-fields-in-in,#types,2020-04-01,2021-07-15
class-fields,#objects,NA,2021-06-10
class-fields,#others,NA,2021-06-10
regex-match-indices,#arrays,2018-07-11,2021-06-10
regex-match-indices,#iterators,2018-07-11,2021-06-10
regex-match-indices,#objects,2018-07-11,2021-06-10
regex-match-indices,#regex,2018-07-11,2021-06-10
regex-match-indices,#performance,2018-07-11,2021-06-10
await,#modules,2018-01-24,2021-05-25
await,#async,2018-01-24,2021-05-25
weakrefs,#objects,2016-04-01,2020-12-16
weakrefs,#memory,2016-04-01,2020-12-16
weakrefs,#webassembly,2016-04-01,2020-12-16
weakrefs,#iterators,2016-04-01,2020-12-16
numeric_separators,#numbers,2017-05-27,2020-07-23
numeric_separators,#others,2017-05-27,2020-07-23
logical-assignment,#others,2018-03-25,2020-07-21
logical-assignment,#performance,2018-03-25,2020-07-21
promise-any,#async,2019-03-27,2020-07-21
promise-any,#iterators,2019-03-27,2020-07-21
promise-any,#others,2019-03-27,2020-07-21
replace-all,#others,2017-11-29,2020-06-27
replace-all,#regex,2017-11-29,2020-06-27
replace-all,#performance,2017-11-29,2020-06-27
import-meta,#modules,NA,2020-05-01
for-in-mechanics,#iterators,2019-05-25,2020-02-11
for-in-mechanics,#others,2019-05-25,2020-02-11
nullish-coalescing,#others,2017-09-28,2020-01-21
nullish-coalescing,#objects,2017-09-28,2020-01-21
trims,#others,2016-04-29,2019-12-30
trims,#intl,2016-04-29,2019-12-30
chaining,#objects,2017-03-09,2019-12-06
chaining,#others,2017-03-09,2019-12-06
globalThis,#others,2015-11-19,2019-10-01
bigint,#numbers,2017-01-27,2019-09-30
allsettled,#async,2018-09-27,2019-07-24
dynamic-import,#modules,NA,2019-06-20
dynamic-import,#async,NA,2019-06-20
dynamic-import,#performance,NA,2019-06-20
matchall,#regex,2015-10-05,2019-03-26
matchall,#iterators,2015-10-05,2019-03-26
matchall,#others,2015-10-05,2019-03-26
matchall,#performance,2015-10-05,2019-03-26
well-formed-stringify,#intl,NA,2019-01-29
well-formed-stringify,#others,NA,2019-01-29
well-formed-stringify,#objects,NA,2019-01-29
flat,#arrays,2017-07-28,2019-01-29
flat,#iterators,2017-07-28,2019-01-29
object-from-entries,#collections,NA,2019-01-29
object-from-entries,#iterators,NA,2019-01-29
object-from-entries,#objects,NA,2019-01-29
symbol-description,#others,2017-07-26,2018-11-28
symbol-description,#objects,2017-07-26,2018-11-28
function-to-string,#others,2016-01-14,2018-11-28
function-to-string,#types,2016-01-14,2018-11-28
json-superset,#objects,2017-09-27,2018-05-22
json-superset,#others,2017-09-27,2018-05-22
json-superset,#json,2017-09-27,2018-05-22
optional-catch,#others,NA,2018-05-22
object-rest-spread,#objects,2014-10-29,2018-02-13
object-rest-spread,#iterators,2014-10-29,2018-02-13
object-rest-spread,#others,2014-10-29,2018-02-13
async-iteration,#async,2016-02-02,2018-01-25
async-iteration,#iterators,2016-02-02,2018-01-25
finally,#async,NA,2018-01-24
named-groups,#regex,NA,2018-01-24
lookbehind,#others,NA,2018-01-24
lookbehind,#regex,NA,2018-01-24
unicode-escapes,#intl,2016-07-27,2018-01-24
unicode-escapes,#objects,2016-07-27,2018-01-24
unicode-escapes,#regex,2016-07-27,2018-01-24
unicode-escapes,#performance,2016-07-27,2018-01-24
dot-all,#regex,2016-11-30,2017-12-19
dot-all,#others,2016-11-30,2017-12-19
template-literal-lift,#others,2016-05-03,2017-10-12
template-literal-lift,#performance,2016-05-03,2017-10-12
atomics,#concurrency,2015-09-24,2017-02-09
atomics,#performance,2015-09-24,2017-02-09
atomics,#memory,2015-09-24,2017-02-09
function-commas,#functions,NA,2016-07-28
function-commas,#others,NA,2016-07-28
string-padding,#others,NA,2016-05-25
string-padding,#intl,NA,2016-05-25
object-gopds,#objects,NA,2016-05-25
object-values-entries,#iterators,NA,2016-03-29
object-values-entries,#collections,NA,2016-03-29
object-values-entries,#arrays,NA,2016-03-29
array-includes,#arrays,2014-07-23,2015-11-17
async-await,#async,2014-04-09,2015-10-08
async-await,#iterators,2014-04-09,2015-10-08
